Index	Ind ID	Class ID	Name	Abbreviation	Note	Centre
179		FBbt_	VNC centromedial Right	VNCcm r		[525, 939, 262]
180		FBbt_	Mandibula centromedial Right	MDcm r		[537, 442, 252]
181		FBbt_	Maxilla centromedial Right	MXcm r		[527, 482, 253]
182		FBbt_	Labium centromedial Right	LBcm r		[528, 548, 252]
183		FBbt_	Thoracic Segment 1 centromedial Right	T1cm r		[527, 639, 253]
184		FBbt_	Thoracic Segment 2 centromedial Right	T2cm r		[526, 752, 255]
185		FBbt_	Thoracic Segment 3 centromedial Right	T3cm r		[522, 882, 256]
186		FBbt_	Abdominal Segment 1 centromedial Right	A1cm r		[519, 991, 258]
187		FBbt_	Abdominal Segment 2 centromedial Right	A2cm r		[519, 1081, 258]
188		FBbt_	Abdominal Segment 3 centromedial Right	A3cm r		[521, 1165, 262]
189		FBbt_	Abdominal Segment 4 centromedial Right	A4cm r		[523, 1244, 267]
190		FBbt_	Abdominal Segment 5 centromedial Right	A5cm r		[525, 1332, 275]
191		FBbt_	Abdominal Segment 6 centromedial Right	A6cm r		[526, 1415, 283]
192		FBbt_	Abdominal Segment 7 centromedial Right	A7cm r		[528, 1491, 294]
193		FBbt_	Abdominal Segment 8 centromedial Right	A8cm r		[529, 1546, 305]
194		FBbt_	VNC ventromedial Right	VNCvm r		[531, 866, 285]
195		FBbt_	Mandibula ventromedial Right	MDvm r		[530, 414, 281]
196		FBbt_	Maxilla ventromedial Right	MXvm r		[528, 465, 280]
197		FBbt_	Labium ventromedial Right	LBvm r		[529, 535, 276]
198		FBbt_	Thoracic Segment 1 ventromedial Right	T1vm r		[532, 640, 275]
199		FBbt_	Thoracic Segment 2 ventromedial Right	T2vm r		[532, 773, 274]
200		FBbt_	Thoracic Segment 3 ventromedial Right	T3vm r		[531, 896, 275]
201		FBbt_	Abdominal Segment 1 ventromedial Right	A1vm r		[529, 1001, 278]
202		FBbt_	Abdominal Segment 2 ventromedial Right	A2vm r		[527, 1091, 281]
203		FBbt_	Abdominal Segment 3 ventromedial Right	A3vm r		[531, 1175, 287]
204		FBbt_	Abdominal Segment 4 ventromedial Right	A4vm r		[534, 1253, 293]
205		FBbt_	Abdominal Segment 5 ventromedial Right	A5vm r		[534, 1330, 300]
206		FBbt_	Abdominal Segment 6 ventromedial Right	A6vm r		[536, 1411, 308]
207		FBbt_	Abdominal Segment 7 ventromedial Right	A7vm r		[536, 1483, 317]
208		FBbt_	Abdominal Segment 8 ventromedial Right	A8vm r		[535, 1548, 324]
209		FBbt_00007064	Superior Lateral Protocerebrum	SLp		[487, 149, 199]
210		FBbt_00007127	Antennal Lobe	AL		[476, 277, 283]
211		FBbt_	Tritocerebrum centromedial Right	TRcm r		[584, 385, 252]
212		FBbt_	Tritocerebrum centromedial Left	TRcm l		[370, 385, 253]
213		FBbt_	VNC centromedial Left	VNCcm l		[456, 929, 262]
214		FBbt_	Mandibula centromedial Left	MDcm l		[418, 443, 252]
215		FBbt_	Maxilla centromedial Left	MXcm l		[431, 482, 253]
216		FBbt_	Labium centromedial Left	LBcm l		[442, 546, 252]
217		FBbt_	Thoracic Segment 1 centromedial Left	T1cm l		[448, 638, 253]
218		FBbt_	Thoracic Segment 2 centromedial Left	T2cm l		[453, 753, 255]
219		FBbt_	Thoracic Segment 3 centromedial Left	T3cm l		[456, 883, 256]
220		FBbt_	Abdominal Segment 1 centromedial Left	A1cm l		[460, 991, 258]
221		FBbt_	Abdominal Segment 2 centromedial Left	A2cm l		[464, 1080, 258]
222		FBbt_	Abdominal Segment 3 centromedial Left	A3cm l		[467, 1165, 262]
223		FBbt_	Abdominal Segment 4 centromedial Left	A4cm l		[470, 1244, 268]
224		FBbt_	Abdominal Segment 5 centromedial Left	A5cm l		[475, 1333, 276]
225		FBbt_	Abdominal Segment 6 centromedial Left	A6cm l		[475, 1415, 284]
226		FBbt_	Abdominal Segment 7 centromedial Left	A7cm l		[474, 1490, 294]
227		FBbt_	Abdominal Segment 8 centromedial Left	A8cm l		[480, 1545, 305]
228		FBbt_	VNC ventromedial Left	VNCvm l		[450, 901, 286]
229		FBbt_	Mandibula ventromedial Left	MDvm l		[420, 416, 281]
230		FBbt_	Maxilla ventromedial Left	MXvm l		[424, 465, 280]
231		FBbt_	Labium ventromedial Left	LBvm l		[434, 535, 276]
232		FBbt_	Thoracic Segment 1 ventromedial Left	T1vm l		[441, 641, 275]
233		FBbt_	Thoracic Segment 2 ventromedial Left	T2vm l		[447, 773, 274]
234		FBbt_	Thoracic Segment 3 ventromedial Left	T3vm l		[452, 896, 275]
235		FBbt_	Abdominal Segment 1 ventromedial Left	A1vm l		[456, 1001, 278]
236		FBbt_	Abdominal Segment 2 ventromedial Left	A2vm l		[465, 1092, 281]
237		FBbt_	Abdominal Segment 3 ventromedial Left	A3vm l		[468, 1175, 287]
238		FBbt_	Abdominal Segment 4 ventromedial Left	A4vm l		[470, 1254, 293]
239		FBbt_	Abdominal Segment 5 ventromedial Left	A5vm l		[472, 1330, 299]
240		FBbt_	Abdominal Segment 6 ventromedial Left	A6vm l		[473, 1410, 308]
241		FBbt_	Abdominal Segment 7 ventromedial Left	A7vm l		[477, 1484, 317]
242		FBbt_	Abdominal Segment 8 ventromedial Left	A8vm l		[482, 1551, 325]
243		FBbt_	Tritocerebrum central Left	TRc l		[325, 416, 252]
244		FBbt_	Terminal Plexus ventral Right	TPv r		[546, 1587, 287]
245		FBbt_00110187	Peduncle	PED		[479, 208, 206]
246		FBbt_00110188	Medial Lobe	ML		[494, 192, 253]
247		FBbt_00007191	Calyx	CX		[491, 172, 145]
248		FBbt_00110189	Vertical Lobe	VL		[495, 104, 238]
249		FBbt_00110186	Spur	SPU		[515, 169, 259]
250		FBbt_00011929	Mushroom Body	MB		[491, 174, 199]
251		FBbt_	Noduli Primoridum	prNO		[492, 224, 233]
252		FBbt_	Thoracic Segment 2 Leg Neuropil Left	T2Leg l		[331, 783, 271]
253		FBbt_00110190	Lateral Appendix of the Medial Lobe	LAML		[479, 152, 273]
254		FBbt_	Terminal Plexus centro Left	TPc l		[463, 1606, 311]
255		FBbt_	Terminal Plexus centro Right	TPc r		[547, 1606, 309]
256		FBbt_	Thoracic Segment 2 Leg Neuropil Right	T2Leg r		[655, 778, 271]
257		FBbt_	Tritocerebrum ventral Left	TRv l		[359, 351, 289]
